Country,Median_Monthly_Income_USD,iPhone_Price_USD,Daily_Income_USD,Days_Needed
Switzerland,7500.53,878.90,340.93,3
Singapore,4575.65,961.26,207.07,5
United States,4320.66,799.00,196.39,5
Australia,3559.89,923.34,161.81,6
United Arab Emirates,3196.38,917.73,145.29,7
China,946.66,839.86,43.03,20
Malaysia,881.19,839.79,40.05,21
South Korea,2270.28,954.60,103.19,10
Turkey,818.38,2417.97,37.20,65
Brazil,466.28,1599.80,21.19,76
Mexico,758.97,1139.94,34.50,34
Vietnam,434.21,974.96,19.74,50
India,505.76,994.80,22.99,44
Nigeria,115.56,1300.00,5.25,248
Japan,2060.76,1472.66,93.67,16
